date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:43:35	9700/9700	---M--	200	added ('OK')	font/woff2	etag:%2225e4-5f6cd5299559e%22	http://pear.com.ua/wp-content/fonts/roboto/KFOlCnqEu92Fr1MmYUtfABc4EsA.woff2	C:/%d0%9c%d0%be%d1%97%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d0%b8/Technomarket/pear.com.ua/wp-content/fonts/roboto/KFOlCnqEu92Fr1MmYUtfABc4EsA.woff2	(from http://pear.com.ua/wp-content/fonts/268efc23b48cfd7c58dd7eda7fc471c2.css)
14:43:36	15860/15860	---M--	200	added ('OK')	font/woff2	etag:%223df4-5f6cd52942a27%22	http://pear.com.ua/wp-content/fonts/roboto/KFOlCnqEu92Fr1MmWUlfBBc4.woff2	C:/%d0%9c%d0%be%d1%97%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d0%b8/Technomarket/pear.com.ua/wp-content/fonts/roboto/KFOlCnqEu92Fr1MmWUlfBBc4.woff2	(from http://pear.com.ua/wp-content/fonts/268efc23b48cfd7c58dd7eda7fc471c2.css)
14:43:36	14856/14856	---M--	200	added ('OK')	font/woff2	etag:%223a08-5f6cd5296b51d%22	http://pear.com.ua/wp-content/fonts/roboto/KFOlCnqEu92Fr1MmYUtfCRc4EsA.woff2	C:/%d0%9c%d0%be%d1%97%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d0%b8/Technomarket/pear.com.ua/wp-content/fonts/roboto/KFOlCnqEu92Fr1MmYUtfCRc4EsA.woff2	(from http://pear.com.ua/wp-content/fonts/268efc23b48cfd7c58dd7eda7fc471c2.css)
14:43:36	7040/7040	---M--	200	added ('OK')	font/woff2	etag:%221b80-5f6cd529dde20%22	http://pear.com.ua/wp-content/fonts/roboto/KFOlCnqEu92Fr1MmYUtfBxc4EsA.woff2	C:/%d0%9c%d0%be%d1%97%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d0%b8/Technomarket/pear.com.ua/wp-content/fonts/roboto/KFOlCnqEu92Fr1MmYUtfBxc4EsA.woff2	(from http://pear.com.ua/wp-content/fonts/268efc23b48cfd7c58dd7eda7fc471c2.css)
14:43:36	5468/5468	---M--	200	added ('OK')	font/woff2	etag:%22155c-5f6cd52a267ca%22	http://pear.com.ua/wp-content/fonts/roboto/KFOlCnqEu92Fr1MmYUtfCxc4EsA.woff2	C:/%d0%9c%d0%be%d1%97%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d0%b8/Technomarket/pear.com.ua/wp-content/fonts/roboto/KFOlCnqEu92Fr1MmYUtfCxc4EsA.woff2	(from http://pear.com.ua/wp-content/fonts/268efc23b48cfd7c58dd7eda7fc471c2.css)
14:43:37	11756/11756	---M--	200	added ('OK')	font/woff2	etag:%222dec-5f6cd52aa118a%22	http://pear.com.ua/wp-content/fonts/roboto/KFOlCnqEu92Fr1MmYUtfChc4EsA.woff2	C:/%d0%9c%d0%be%d1%97%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d0%b8/Technomarket/pear.com.ua/wp-content/fonts/roboto/KFOlCnqEu92Fr1MmYUtfChc4EsA.woff2	(from http://pear.com.ua/wp-content/fonts/268efc23b48cfd7c58dd7eda7fc471c2.css)
14:43:37	15752/15752	---M--	200	added ('OK')	font/woff2	etag:%223d88-5f6cd52ad2b4d%22	http://pear.com.ua/wp-content/fonts/roboto/KFOlCnqEu92Fr1MmYUtfBBc4.woff2	C:/%d0%9c%d0%be%d1%97%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d0%b8/Technomarket/pear.com.ua/wp-content/fonts/roboto/KFOlCnqEu92Fr1MmYUtfBBc4.woff2	(from http://pear.com.ua/wp-content/fonts/268efc23b48cfd7c58dd7eda7fc471c2.css)
14:43:47	14701/14701	---MC-	200	added ('OK')	application/json	date:Fri,%2009%20Jun%202023%2011:43:36%20GMT	http://pear.com.ua/wp-json/wp/v2/pages/42	C:/%d0%9c%d0%be%d1%97%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d0%b8/Technomarket/pear.com.ua/wp-json/wp/v2/pages/42.json	(from http://pear.com.ua/services__trashed/bfp-print/)
14:43:47	2894/2894	---M--	200	added ('OK')	application/json	date:Fri,%2009%20Jun%202023%2011:43:47%20GMT	http://pear.com.ua/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fpear.com.ua%2Fservices__trashed%2Fbfp-print%2F	C:/%d0%9c%d0%be%d1%97%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d0%b8/Technomarket/pear.com.ua/wp-json/oembed/1.0/embedccd1.json	(from http://pear.com.ua/services__trashed/bfp-print/)
14:43:48	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2009%20Jun%202023%2011:43:47%20GMT	http://pear.com.ua/?p=42	C:/%d0%9c%d0%be%d1%97%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d0%b8/Technomarket/pear.com.ua/indexfbd5.html	(from http://pear.com.ua/services__trashed/bfp-print/)
14:43:48	3057/3057	---M--	200	added ('OK')	text/xml	date:Fri,%2009%20Jun%202023%2011:43:48%20GMT	http://pear.com.ua/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fpear.com.ua%2Fservices__trashed%2Fbfp-print%2F&format=xml	C:/%d0%9c%d0%be%d1%97%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d0%b8/Technomarket/pear.com.ua/wp-json/oembed/1.0/embed30be	(from http://pear.com.ua/services__trashed/bfp-print/)
14:43:49	3624/3624	---M--	200	added ('OK')	image/jpeg	etag:%22e28-5f78c1a458c42%22	http://pear.com.ua/wp-content/uploads/2023/03/canon-mf754-150x150.jpg	C:/%d0%9c%d0%be%d1%97%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d0%b8/Technomarket/pear.com.ua/wp-content/uploads/2023/03/canon-mf754-150x150.jpg	(from http://pear.com.ua/services__trashed/bfp-print/)
14:43:49	6339/6339	---M--	200	added ('OK')	image/jpeg	etag:%2218c3-5f78cbd5ca12f%22	http://pear.com.ua/wp-content/uploads/2023/03/epson15160-150x150.jpg	C:/%d0%9c%d0%be%d1%97%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d0%b8/Technomarket/pear.com.ua/wp-content/uploads/2023/03/epson15160-150x150.jpg	(from http://pear.com.ua/services__trashed/bfp-print/)
14:43:49	22038/22038	---M--	200	added ('OK')	image/jpeg	etag:%225616-5f78c1a3eb591%22	http://pear.com.ua/wp-content/uploads/2023/03/canon-mf754.jpg	C:/%d0%9c%d0%be%d1%97%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d0%b8/Technomarket/pear.com.ua/wp-content/uploads/2023/03/canon-mf754.jpg	(from http://pear.com.ua/services__trashed/bfp-print/)
14:43:51	33905/33905	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2009%20Jun%202023%2011:43:49%20GMT	http://pear.com.ua/?page_id=12	C:/%d0%9c%d0%be%d1%97%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d0%b8/Technomarket/pear.com.ua/indexd236.html	(from http://pear.com.ua/services__trashed/bfp-print/)
14:43:51	3910/3910	---M--	200	added ('OK')	image/jpeg	etag:%22f46-5f78c5693e03a%22	http://pear.com.ua/wp-content/uploads/2023/03/hp-m428-150x150.jpg	C:/%d0%9c%d0%be%d1%97%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d0%b8/Technomarket/pear.com.ua/wp-content/uploads/2023/03/hp-m428-150x150.jpg	(from http://pear.com.ua/services__trashed/bfp-print/)
14:43:52	4768/4768	---M--	200	added ('OK')	image/jpeg	etag:%2212a0-5f78ce70ca7a1%22	http://pear.com.ua/wp-content/uploads/2023/03/pantum6550-150x150.jpg	C:/%d0%9c%d0%be%d1%97%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d0%b8/Technomarket/pear.com.ua/wp-content/uploads/2023/03/pantum6550-150x150.jpg	(from http://pear.com.ua/services__trashed/bfp-print/)
14:43:54	10015/10015	---MC-	200	added ('OK')	application/json	date:Fri,%2009%20Jun%202023%2011:43:52%20GMT	http://pear.com.ua/wp-json/wp/v2/pages/44	C:/%d0%9c%d0%be%d1%97%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d0%b8/Technomarket/pear.com.ua/wp-json/wp/v2/pages/44.json	(from http://pear.com.ua/services__trashed/phone/)
14:43:55	34683/34683	---M--	200	added ('OK')	image/jpeg	etag:%22877b-5f78c568e0094%22	http://pear.com.ua/wp-content/uploads/2023/03/hp-m428.jpg	C:/%d0%9c%d0%be%d1%97%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d0%b8/Technomarket/pear.com.ua/wp-content/uploads/2023/03/hp-m428.jpg	(from http://pear.com.ua/services__trashed/bfp-print/)
14:43:55	2924/2924	---M--	200	added ('OK')	application/json	date:Fri,%2009%20Jun%202023%2011:43:54%20GMT	http://pear.com.ua/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fpear.com.ua%2Fservices__trashed%2Fphone%2F	C:/%d0%9c%d0%be%d1%97%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d0%b8/Technomarket/pear.com.ua/wp-json/oembed/1.0/embedd7ee.json	(from http://pear.com.ua/services__trashed/phone/)
14:43:56	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2009%20Jun%202023%2011:43:55%20GMT	http://pear.com.ua/?p=44	C:/%d0%9c%d0%be%d1%97%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d0%b8/Technomarket/pear.com.ua/index49b1.html	(from http://pear.com.ua/services__trashed/phone/)
14:43:56	3093/3093	---M--	200	added ('OK')	text/xml	date:Fri,%2009%20Jun%202023%2011:43:55%20GMT	http://pear.com.ua/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fpear.com.ua%2Fservices__trashed%2Fphone%2F&format=xml	C:/%d0%9c%d0%be%d1%97%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d0%b8/Technomarket/pear.com.ua/wp-json/oembed/1.0/embed29a6	(from http://pear.com.ua/services__trashed/phone/)
